"measure","description"
"meas.ssr_history_mgmt_rpt_won_amt_qtd_sply_diff","Returns management rpt won amount quarter-to-date same period last year difference."
"meas.ssr_history_mgmt_rpt_won_amt_ytd","Returns management rpt won amount year-to-date where step is New Logo Selling or Existing Customer Selling, successful records."
"meas.ssr_history_mgmt_rpt_won_amt_ytd_sply","Returns management rpt won amount year-to-date same period last year where step is New Logo Selling or Existing Customer Selling, successful records."
"meas.ssr_history_mgmt_rpt_won_amt_ytd_sply_diff","Returns management rpt won amount year-to-date same period last year difference."
"meas.ssr_history_mgmt_rpt_pipeline_amt_mtd","Returns management rpt pipeline amount month-to-date where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_rpt_pipeline_amt_mtd_sply","Returns management rpt pipeline amount month-to-date same period last year where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_rpt_pipeline_amt_mtd_sply_diff","Calculates management rpt pipeline amount month-to-date same period last year difference in the current reporting context."
"meas.ssr_history_mgmt_rpt_pipeline_amt_qtd","Returns management rpt pipeline amount quarter-to-date where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_rpt_pipeline_amt_qtd_sply","Returns management rpt pipeline amount quarter-to-date same period last year where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_rpt_pipeline_amt_qtd_sply_diff","Returns management rpt pipeline amount quarter-to-date same period last year difference."
"meas.ssr_history_mgmt_rpt_pipeline_amt_ytd","Returns management rpt pipeline amount year-to-date where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_rpt_pipeline_amt_ytd_sply","Returns management rpt pipeline amount year-to-date same period last year where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_rpt_pipeline_amt_ytd_sply_diff","Returns management rpt pipeline amount year-to-date same period last year difference."
"meas.ta_ssr_history_all_activity_avg_count","Calculates ta ssr history all activity average count in the current reporting context."
"meas.ta_ssr_history_all_activity_avg_eng_count","Returns the average ta ssr history all activity average eng count."
"meas.ta_ssr_history_all_activity_engagement_rate","Calculates ta ssr history all activity engagement rate in the current reporting context."
"meas.ta_ssr_history_all_email_avg_count","Calculates ta ssr history all email average count in the current reporting context."
"meas.ta_ssr_history_all_email_avg_eng_count","Calculates ta ssr history all email average eng count in the current reporting context."
"meas.ta_ssr_history_all_email_engagement_rate","Calculates ta ssr history all email engagement rate in the current reporting context."
"meas.ta_ssr_history_all_meeting_avg_count","Calculates ta ssr history all meeting average count in the current reporting context."
"meas.ta_ssr_history_all_meeting_avg_eng_count","Calculates ta ssr history all meeting average eng count in the current reporting context."
"meas.ta_ssr_history_all_meeting_engagement_rate","Calculates ta ssr history all meeting engagement rate in the current reporting context."
"meas.ta_ssr_history_all_phone_call_avg_count","Calculates ta ssr history all phone call average count in the current reporting context."
"meas.ta_ssr_history_all_phone_call_avg_eng_count","Calculates ta ssr history all phone call average eng count in the current reporting context."
"meas.ta_ssr_history_all_phone_call_engagement_rate","Calculates ta ssr history all phone call engagement rate in the current reporting context."
"meas.ta_ssr_history_all_social_media_avg_count","Calculates ta ssr history all social media average count in the current reporting context."
"meas.ta_ssr_history_all_social_media_avg_eng_count","Returns ta ssr history all social media average eng count."
"meas.ta_ssr_history_all_social_media_engagement_rate","Calculates ta ssr history all social media engagement rate in the current reporting context."
"meas.opps_asof_open_pipeline_amt","Returns total open pipeline amount as of the selected as-of date."
"meas.avg_time_spent_per_step","Calculates average time spent per step in the current reporting context."
"meas.ssr_history_leads_w_first_touch","Calculates leads w first touch in the current reporting context."
"meas.opps_asof_open_pipeline_expected_value","Returns total open pipeline amount as of the selected as-of date."
"meas.avg_time_spent_per_deal_ratio_prospecting","Returns average time spent per deal ratio prospecting where step is Prospecting."
"meas.avg_time_spent_per_deal_ratio_new_logo_selling","Returns average time spent per deal ratio new logo selling where step is New Logo Selling."
"meas.avg_time_spent_per_deal_ratio_post_sales_support","Returns average time spent per deal ratio post sales support where step is Post-Sales Support."
"meas.avg_time_spent_per_deal_ratio_existing_customer_selling","Returns average time spent per deal ratio existing customer selling where step is Existing Customer Selling."
"meas.ssr_history_leads_count","Calculates the number of leads count."
"meas.ssr_history_mkt_inbound_leads_with_first_touch","Calculates the number of mkt inbound leads with first touch."
"meas.ssr_history_success_count_mkt_prospecting_inbound","Calculates the number of success count mkt prospecting inbound where step is Prospecting, successful records."
"meas.ssr_history_inbound_mkt_leads_touched_ratio","Returns inbound mkt leads touched ratio."
"meas.ssr_history_success_rate_mkt_prospecting_inbound","Calculates success rate mkt prospecting inbound in the current reporting context."
"meas.annual_booking_mrr_won_amt","Returns won booking amount, or converts it to monthly recurring revenue, based on the selected Booking Amount Display Mode."
"meas.annual_booking_mrr_won_amt_text","Returns the selected booking display label (monthly recurring revenue or Annual Bookings) based on Booking Amount Display Mode."
"meas.annual_booking_mrr_new_logo_won_amt","Returns won new-logo booking amount, or converts it to monthly recurring revenue, based on the selected Booking Amount Display Mode."
"meas.annual_booking_mrr_existing_customer_selling_won_amt","Returns won existing-customer-selling booking amount, or converts it to monthly recurring revenue, based on the selected Booking Amount Display Mode."
"meas.ssr_history_all_duration_hrs","Calculates all duration hours in the current reporting context."
"meas.ssr_history_all_eng_duration_hrs","Calculates all eng duration hours in the current reporting context."
"meas.ssr_history_all_phone_call_count","Calculates all phone call count in the current reporting context."
"meas.stkhlds_all_act_social_media_count","Summarizes all social-channel activities from stakeholders."
"meas.stkhlds_all_act_nd_count","Summarizes all activities from stakeholders."
"meas.ssr_history_mrr_won_amt","Calculates monthly recurring revenue won amount in the current reporting context."
"meas.ssr_history_mrr_won_amt_new_logo","Calculates monthly recurring revenue won amount new logo in the current reporting context."
"meas.ssr_history_mrr_won_amt_existing_customer_selling","Calculates monthly recurring revenue won amount existing customer selling in the current reporting context."
"meas.ssr_history_duration_hrs_deals","Returns duration hours deals."
"meas.ssr_history_duration_hrs_deals_stage_accumulation","Returns duration hours deals stage accumulation."
"meas.ssr_history_duration_hrs_deals_stage","Returns duration hours deals stage."
"meas.ssr_history_duration_hrs_lost_deals","Calculates duration hours lost deals in the current reporting context."
"meas.opps_per_dur_hrs_avg","Summarizes opportunities per duration hours average."
"meas.opps_per_acts_avg","Calculates per acts average in the current reporting context."
"meas.opps_per_acts_avg_ae","Returns the average number of opportunities per account for Account Executive."
"meas.opps_per_acts_avg_am","Returns the average number of opportunities per account for Account Manager."
"meas.opps_per_acts_avg_mgmt","Returns the average number of opportunities per account for Management."
"meas.opps_per_acts_avg_sdr","Returns the average number of opportunities per account for Sales Development Representative."
"meas.opps_per_acts_avg_other","Returns the average number of opportunities per account for Other Roles."
"meas.opps_per_dur_hrs_avg_sdr","Returns the average number of opportunities per duration hour for Sales Development Representative."
"meas.opps_per_dur_hrs_avg_ae","Returns the average number of opportunities per duration hour for Account Executive."
"meas.opps_per_dur_hrs_avg_other","Returns the average number of opportunities per duration hour for OTHER ROLE."
"meas.opps_per_dur_hrs_avg_mgmt","Returns the average number of opportunities per duration hour for Management."
"meas.opps_per_dur_hrs_avg_am","Returns the average number of opportunities per duration hour for Account Manager."
"meas.opps_per_owner_avg","Returns the average number of opportunities per owner in the current reporting context."
"meas.opps_per_owner_avg_ae","Returns the average number of opportunities per owner for Account Executive."
"meas.opps_per_owner_avg_am","Returns the average number of opportunities per owner for Account Manager."
"meas.opps_per_owner_avg_mgmt","Returns the average number of opportunities per owner for Management."
"meas.opps_per_owner_avg_other","Returns the average number of opportunities per owner for Other Roles."
"meas.total_opps_count_dist","Calculates total opportunities count dist in the current reporting context."
"meas.trueai_potential_acv_per_step_avg","Calculates trueai potential acv per step average in the current reporting context."
"meas.ssr_history_sum_opp_renewal_amt","Summarizes sum opportunity renewal amount."
"meas.ssr_history_sum_opp_one_time_amt","Summarizes sum opportunity one time amount."
"meas.ssr_history_sum_opp_cross_sale_amt","Summarizes sum opportunity cross sale amount."
"meas.ssr_history_sum_opp_nd_amt","Summarizes sum opportunity nd amount."
"meas.ssr_history_sum_opp_downgrade_amt","Summarizes sum opportunity downgrade amount."
"meas.ssr_history_sum_opp_expansion_amt","Summarizes sum opportunity expansion amount."
"meas.pipeline_amt_sum","Summarizes pipeline amount sum."
"dbg.cohort_success_intersection","Debug/helper measure used to validate cohort-success intersection logic during model development."
"meas.trueai_curr_acv","Redundant measure - slated for depreciation."
"meas.ssr_funnel_stage_progression","Calculates opportunity progression across funnel stages within the selected reporting context."
"meas.exp_rpts_all_new_logo_deals_count","Calculates the number of New Logo opportunities within the current reporting context."
"meas.exp_rpts_existing_customer_won_deals","Calculates the number of won Existing Customer opportunities within the current reporting context."
"meas.exp_rpts_existing_customer_all_deals","Calculates the number of Existing Customer opportunities within the current reporting context."
"meas.ssr_history_win_rate_existing_customer","Calculates the win rate for Existing Customer opportunities within the current reporting context."
"meas.ssr_history_amt_new_logo_win_rate","Calculates the amount-weighted win rate for New Logo opportunities within the current reporting context."
"meas.ssr_history_pipeline_amt_avg","Calculates average pipeline amount within the current reporting context."
"meas.ssr_history_vi_value_delivered","Calculates value delivered within the current reporting context."
"meas.ssr_history_unique_reps_count_prospecting","Calculates the number of unique representatives in Prospecting within the current reporting context."
"meas.most_involved_rep","Returns the representative with the highest activity involvement in the current reporting context."
"meas.loss_reason_lost_opps_with_reason","Counts closed-lost opportunities with a populated loss reason."
"meas.loss_reason_population_coverage_pct","Calculates loss-reason population coverage as factor1 divided by factor2, capped at 1."
"meas.loss_reason_population_coverage_pct_new","Calculates loss-reason population coverage for closed-lost opportunities."
